	牌相	圖相	牌義	解牌-工作	解牌-感情
  愚人牌	正向	快樂的在懸崖上向前走去	新的冒險	工作：嘗試不同的冒險，決定在你自己	感情：嘗試新的事物
  魔術師	正向	擁有金幣，權杖，寶劍，聖杯	實踐夢想	工作：展現意志，開始新專案	感情：獲得所需
  女祭師	正向	坐著拿著古琴，背後有成熟果實的女祭司	開啟心靈，依直覺進行決定	工作：使用直覺進行工作	感情：聽從直覺解決問題
  皇后牌	正向	坐在富饒花園的皇后	肥沃富裕	工作：進行新專案，可能會在家工作，進行創作型的職業，要有耐心等待開花結果	感情：搭配聖杯3，金幣9，則是生產牌。關係在滋長
  皇帝牌	中性	嚴肅的皇帝	控制-學習拿回權力，像個皇帝	工作：可能因為什麼原因感到無力，需要學習拿回權力	感情：可能現任或前任配偶讓你感到無力，需要拿回主導權
  教皇牌	中性	坐在信眾前的教宗	智慧-藉由智者，尋求解答	工作：需要跳出框架，尋找心靈導師，解決困境。	感情：需要一個夥伴教導你開啟智慧
  戀人牌	正向	一對在天使前的戀人	浪漫和諧	工作：面臨選擇，聽從你的心	感情：充滿浪漫與愛
  戰車牌	中性	坐在兩匹人馬獅車拉的馬車的王子	冒險，處理矛盾	工作：不要放棄，可能會很辛苦，但最終會成功	感情：如果處理的好會是好的結果，可能會有點辛苦
  正義牌	正向	摸著獅子的人	勇敢-不再是受害者，做個勇者	工作：由受害者轉變為具有力量的勇者	感情：需要力量拿回你的權力
  隱士牌	正向	拿著燈前行的老人	孤獨	工作：會感到孤立無援，反事得靠自己	感情：感到孤獨
  命運之輪牌	正向	被水，土，空氣，火圍繞，持續轉動的命運之輪	命運，順應人生河流	工作：新的財富可能將來臨，但你要打開心房	感情：不要堅持真命天子，所有關係都是有價值的
  力量牌	中性	一手拿著寶劍，一手拿著天秤，坐著的皇后	宇宙法則-宇宙法則	工作：種什麼因，結什麼果。	感情：種什麼因，結什麼果。
  吊人牌	中性	倒吊著，表情安詳的人	等待-抵抗沒有用，等待更好的時機	工作：先別行動，等待答案	感情：可能感到被束縛，先別做大行動
  死神牌	中性	死神騎士，認輸的國王，疑惑的小孩	改變-離開現有生活	工作：也許是時機離開現有工作，或改變工作型態	感情：也許是時機結束現有戀情，不要拒絕改變
  節制牌	中性	拿著聖杯，站在溪中的天使	耐心-3到5年的長期規劃，要有耐心才能迎來果實	工作：闗注3年後你想要的生活，努力就會成功	感情：有耐心你就會得到想要的麼果。
  惡魔牌	負向	前方一對被奴役男女的惡魔	誘惑-物質或人的誘惑，阻礙你的發展	工作：惡魔在你的身後，擔憂或其他不良事物奴役你的事業	感情：感到無力被傷害
  塔牌	負向	雷雨下的高塔，躍下的人們	震驚-脆弱基礎的崩壞，突然發生的驚恐事件	工作：意料之外的驚恐，誠實面對，努力療癒	感情：不夠堅實的基礎，試著重建
  星星牌	正向	在閃耀的星星下，倒水的婦人	平靜-黑暗後的寧靜	工作：不再艱困的工作環境，願望將實作	感情：自由，愛，喜樂的闗係
  月亮牌	負向	俯看狂吠狗群與蝎子的皺眉月亮	黑暗-面對你的黑暗面	工作：暫緩行動，面對你的挑戰與黑暗	感情：面對你的黑暗面
  太陽牌	極正向	太陽下，快樂騎馬的小孩	陽光-做什麼事都有正向的結果	工作：充滿愉悅，會得到驚人的成果	感情：美麗的戀情
  審判牌	中性	大天使吹著號角，喚醒人們行動	喚醒-內在的省思與澄清	工作：你能明確判斷你的工作，找到更適合你的工作	感情：認清你的闗係
  世界牌	正向	在花環中的女子	圓滿-階段性的完成	工作：工作上的圓滿	感情：長期的穩定與喜樂
  聖杯-國王牌		坐在海上，雙手拿著聖杯，表情詳和的國王	深情的,精神層面的，藝術的	藝術性，靈性，創造性	傾聽，而不是試圖控制
  聖杯-皇后牌		端坐拿著聖杯，腳在水中的皇后	女性，直覺，藝術，創造，敏造，熱情	創造，直覺，熱情	有同情心的，敏感，直覺的伴侶
  聖杯-騎士牌		拿著聖杯騎馬的騎士	做夢的，感性的，向前的，不衝動的	會有帶來啟發的專案	打開心房的戀情
  聖杯-伺從牌		拿著聖杯，裡面有條魚的侍者-魚代表智慧	做夢，藝術，感性，直覺	正向的，打開你的心房	愛情即將來臨
  聖杯-1	正向	新的開始	心將會打開	新的職涯 – 和心相關	建議打開你的心房
  聖杯-2	正向	結合，平衡		職涯面是合夥關係	闗係面是戀情或友情的連結
